Omitted field:id
RowNumber,Expected,Actual
Row:7,name:Joey Abreu,name:Kshitj Vats
Row:11,name:Maja Nicholson,name:Maja Nich6754olson
Row:12,nationality:United States of America,nationality:India
Row:14,name:Edgar Sanchez,name:E3q4qdgar Sanchez
Row:14,city:Tijuana,city:Tij4545uana
Row:14,longitude:-117.02,longitude:-117543.02
Row:17,nationality:United States of America,nationality:Unitedetefds States of America
Row:18,name:Ericka Arreola,name:Ericka Arrgdgeola
Row:20,nationality:United States of America,nationality:United States of Agdfhmerica
Row:148,name:Siena Ingram,name:Atul Rana
Row:159,gender:F,gender:M
